files_accessed,data_transfer_mb,usb_copy_frequency,hour_of_day,is_anomaly
27,1.6076374326070546,2,9,0.0
22,3.6202501037717134,0,9,0.0
21,11.605258156366965,2,11,0.0
15,2.4266142593283737,0,10,0.0
14,11.196617788847723,3,12,0.0
14,0.508785470907684,0,16,0.0
25,9.176285468657426,1,16,0.0
853,2064.012472902209,35,1,1.0
18,6.823992525526813,1,16,0.0
22,3.2669225918819262,1,11,0.0
22,1.5410070296113458,1,11,0.0
22,5.20278931558436,1,13,0.0
29,0.24953161282464986,0,15,0.0
19,14.143928320876784,0,11,0.0
21,2.8816049297110307,1,14,0.0
17,2.220109678489743,0,11,0.0
18,10.98669245967685,1,17,0.0
22,11.713342458765322,0,14,0.0
22,73.39000566875333,2,16,0.0
21,0.060654005923873426,1,15,0.0
24,7.711955228569481,0,12,0.0
16,5.728260002207045,1,12,0.0
31,29.481833808536816,0,17,0.0
19,7.230749700078633,0,10,0.0
25,14.178946745737333,0,15,0.0
23,1.773472276656689,1,9,0.0
22,14.224113350374882,3,12,0.0
21,1.430442199540243,1,10,0.0
24,15.162715670931853,3,14,0.0
15,0.9822978531124464,1,12,0.0
22,13.572638136490333,2,11,0.0
15,12.089823359870628,1,13,0.0
18,5.731373395996819,1,11,0.0
18,6.636233061595189,1,14,0.0
21,3.706169856744946,1,15,0.0
13,3.7926127023876854,1,9,0.0
30,0.5114609090584548,0,12,0.0
28,0.6394831516097644,1,16,0.0
16,3.8046590477678084,0,11,0.0
335,3266.4082493329183,35,23,1.0
19,3.281804122525437,1,14,0.0
14,8.810547149463606,0,17,0.0
23,18.85212023935859,2,14,0.0
16,21.346073319931122,0,11,0.0
16,21.91689691718487,0,13,0.0
12,3.36038026752755,1,12,0.0
20,1.9641826506420756,0,11,0.0
17,0.8927118402130035,0,15,0.0
16,12.921717616131733,2,14,0.0
15,2.6699756700097925,1,16,0.0
24,2.9034992352929843,1,11,0.0
26,1.2693654972997868,1,14,0.0
23,1.8920885439824713,1,14,0.0
24,2.72795786510522,2,11,0.0
13,9.045520038896955,0,12,0.0
26,1.8835354677357126,2,10,0.0
14,1.7003195424467847,0,16,0.0
18,4.673721522712178,1,11,0.0
21,12.149570028020225,0,13,0.0
13,0.05881992940075646,0,9,0.0
16,3.143580205799249,0,17,0.0
17,4.415832292526428,2,9,0.0
18,33.98923076555259,1,17,0.0
22,6.0816202895230065,0,9,0.0
13,37.50315003428418,1,14,0.0
19,6.050609087312271,0,11,0.0
22,5.782673075469969,1,17,0.0
19,5.831341790820542,2,14,0.0
26,20.178587522588206,0,9,0.0
27,5.5705290430972365,1,14,0.0
20,4.71318443648194,1,9,0.0
19,5.4937003973264815,1,10,0.0
18,10.856503987174065,1,12,0.0
24,17.96756583281812,2,15,0.0
19,3.8392476045383312,1,9,0.0
13,0.6965517603524845,1,15,0.0
28,17.579974431107004,2,10,0.0
12,10.422569112326949,1,12,0.0
17,2.8631886758637757,0,17,0.0
20,11.909903146114226,1,12,0.0
20,7.999764615179965,2,12,0.0
29,26.507744820058047,1,10,0.0
18,14.997827844207869,1,17,0.0
26,1.8394693964449016,0,14,0.0
21,0.9576859262634184,0,16,0.0
19,16.280778205245575,0,15,0.0
15,38.64750220070523,3,13,0.0
19,6.943870135031269,1,16,0.0
11,2.281493137755422,2,13,0.0
13,4.191510193550425,2,11,0.0
28,23.991195201548035,1,15,0.0
16,5.4024547865953565,2,15,0.0
17,13.319402773500023,0,9,0.0
28,8.07658953525891,2,11,0.0
23,0.8498495634527712,1,9,0.0
16,31.04992839600694,1,11,0.0
24,4.498771171513195,5,16,0.0
20,1.8489687702771165,2,12,0.0
19,7.006138561116622,0,15,0.0
923,2833.4829023104,18,1,1.0
18,4.037254053615224,2,13,0.0
28,3.702952073058832,1,12,0.0
21,9.810734233162785,3,14,0.0
23,26.116322244729954,0,9,0.0
33,9.546931403682532,1,11,0.0
17,3.2172002178661305,0,16,0.0
21,1.390977284446424,1,13,0.0
22,0.4589793620499067,0,12,0.0
17,2.358714281037408,1,11,0.0
22,8.022657885790043,1,15,0.0
23,4.1147906904242895,0,16,0.0
23,22.14868657271723,0,9,0.0
23,24.03460029597596,0,11,0.0
16,1.1274730754879738,1,10,0.0
21,0.6162253588162449,1,12,0.0
20,5.191410805043449,1,16,0.0
719,3992.0998029811008,38,1,1.0
330,1291.144475347656,32,0,1.0
24,2.7900918301027677,1,15,0.0
27,0.14113648145154342,0,15,0.0
33,29.814580715645057,1,17,0.0
33,21.84131485513303,0,10,0.0
15,2.759711989406221,1,10,0.0
23,22.39703926322313,2,15,0.0
18,6.979021072718165,3,13,0.0
22,9.258178644358017,0,16,0.0
23,17.120005978165093,0,11,0.0
19,0.5056617681195948,2,10,0.0
20,9.626042500641285,2,16,0.0
19,10.503570288077782,2,13,0.0
19,14.495166268767568,1,14,0.0
17,9.830749593433282,1,13,0.0
22,7.7700122016074324,1,14,0.0
18,0.2208888501872862,3,10,0.0
21,4.076510583935762,0,11,0.0
21,12.587271462934224,0,12,0.0
12,14.370034628429897,2,12,0.0
387,1745.2399889403466,17,0,1.0
17,8.74922703929043,1,10,0.0
22,12.893778690672981,0,11,0.0
20,20.256972683862262,0,17,0.0
21,9.001625328667256,2,11,0.0
23,14.776907647600527,1,13,0.0
32,6.619839033874896,1,11,0.0
26,3.5652865891681684,2,16,0.0
23,0.07380211441347014,0,14,0.0
23,30.71158821748142,2,13,0.0
14,8.421263364341424,1,10,0.0
20,1.132013237341953,0,16,0.0
781,4711.878986942605,17,23,1.0
18,7.3023808630369125,1,10,0.0
21,6.753460896468937,0,16,0.0
21,3.2400604817547656,2,13,0.0
14,13.45034318193562,5,15,0.0
26,7.8707260606076845,5,16,0.0
844,2012.488201495144,46,20,1.0
19,5.4697259387570885,1,14,0.0
779,3296.030096428022,47,3,1.0
28,30.303735413150065,1,14,0.0
20,4.481890022431437,1,11,0.0
22,3.639868779777241,0,17,0.0
20,7.055029044960639,0,9,0.0
17,4.635822307736845,0,9,0.0
25,8.116397998589237,1,15,0.0
27,5.961629738751385,1,9,0.0
21,20.677838711032667,1,11,0.0
